ticket_id,wave,tier,page,issue_types,priority_score,owner,eta,status,acceptance_criteria,source_report
LUX-W1-001,Wave 3,internal-dashboard,src/app/(dashboard)/dashboard/admin/page.tsx,tiny-text-heavy,226,dashboard-ux,10d,todo,Support/body copy moved to 13-14px baseline where applicable | Page passes luxury tiny-text static gate | Run: npm run ux:luxury:static:staged,tmp/luxury-ux-remediation-backlog.csv
LUX-W1-002,Wave 3,internal-dashboard,src/app/(dashboard)/dashboard/admin/social/page.tsx,tiny-text-heavy,188,dashboard-ux,10d,todo,Support/body copy moved to 13-14px baseline where applicable | Page passes luxury tiny-text static gate | Run: npm run ux:luxury:static:staged,tmp/luxury-ux-remediation-backlog.csv
LUX-W1-003,Wave 3,internal-dashboard,src/app/(dashboard)/dashboard/coach/page.tsx,tiny-text-heavy,187,dashboard-ux,10d,todo,Support/body copy moved to 13-14px baseline where applicable | Page passes luxury tiny-text static gate | Run: npm run ux:luxury:static:staged,tmp/luxury-ux-remediation-backlog.csv
LUX-W1-004,Wave 3,internal-dashboard,src/app/(dashboard)/dashboard/post-search/page.tsx,tiny-text-heavy|excess-uppercase-micro-labels,183,dashboard-ux,10d,todo,Support/body copy moved to 13-14px baseline where applicable | Page passes luxury tiny-text static gate | Uppercase micro labels reduced to occasional metadata only | Page passes uppercase micro-label threshold in static gate | Run: npm run ux:luxury:static:staged,tmp/luxury-ux-remediation-backlog.csv
LUX-W1-005,Wave 3,internal-dashboard,src/app/(dashboard)/dashboard/admin/onboarding/video/page.tsx,tiny-text-heavy,181,dashboard-ux,10d,todo,Support/body copy moved to 13-14px baseline where applicable | Page passes luxury tiny-text static gate | Run: npm run ux:luxury:static:staged,tmp/luxury-ux-remediation-backlog.csv
LUX-W1-006,Wave 3,internal-dashboard,src/app/(dashboard)/dashboard/companies/[id]/page.tsx,tiny-text-heavy,179,dashboard-ux,10d,todo,Support/body copy moved to 13-14px baseline where applicable | Page passes luxury tiny-text static gate | Run: npm run ux:luxury:static:staged,tmp/luxury-ux-remediation-backlog.csv
LUX-W1-007,Wave 3,internal-dashboard,src/app/(dashboard)/dashboard/partner/page.tsx,tiny-text-heavy,179,dashboard-ux,10d,todo,Support/body copy moved to 13-14px baseline where applicable | Page passes luxury tiny-text static gate | Run: npm run ux:luxury:static:staged,tmp/luxury-ux-remediation-backlog.csv
LUX-W1-008,Wave 3,internal-dashboard,src/app/(dashboard)/dashboard/admin/outreach-analytics/page.tsx,tiny-text-heavy,178,dashboard-ux,10d,todo,Support/body copy moved to 13-14px baseline where applicable | Page passes luxury tiny-text static gate | Run: npm run ux:luxury:static:staged,tmp/luxury-ux-remediation-backlog.csv
LUX-W1-009,Wave 3,internal-dashboard,src/app/(dashboard)/dashboard/admin/outplacement-cohorts/page.tsx,tiny-text-heavy|excess-uppercase-micro-labels,176,dashboard-ux,10d,todo,Support/body copy moved to 13-14px baseline where applicable | Page passes luxury tiny-text static gate | Uppercase micro labels reduced to occasional metadata only | Page passes uppercase micro-label threshold in static gate | Run: npm run ux:luxury:static:staged,tmp/luxury-ux-remediation-backlog.csv
LUX-W1-010,Wave 3,internal-dashboard,src/app/(dashboard)/dashboard/discover/recommendation/[id]/page.tsx,tiny-text-heavy|excess-uppercase-micro-labels,175,dashboard-ux,10d,todo,Support/body copy moved to 13-14px baseline where applicable | Page passes luxury tiny-text static gate | Uppercase micro labels reduced to occasional metadata only | Page passes uppercase micro-label threshold in static gate | Run: npm run ux:luxury:static:staged,tmp/luxury-ux-remediation-backlog.csv
LUX-W1-011,Wave 3,internal-dashboard,src/app/(dashboard)/dashboard/admin/outreach-reliability/page.tsx,tiny-text-heavy,172,dashboard-ux,10d,todo,Support/body copy moved to 13-14px baseline where applicable | Page passes luxury tiny-text static gate | Run: npm run ux:luxury:static:staged,tmp/luxury-ux-remediation-backlog.csv
LUX-W1-012,Wave 3,internal-dashboard,src/app/(dashboard)/dashboard/admin/b2b/[id]/page.tsx,tiny-text-heavy,171,dashboard-ux,10d,todo,Support/body copy moved to 13-14px baseline where applicable | Page passes luxury tiny-text static gate | Run: npm run ux:luxury:static:staged,tmp/luxury-ux-remediation-backlog.csv
LUX-W1-013,Wave 3,internal-dashboard,src/app/(dashboard)/dashboard/admin/channel-benchmarks/page.tsx,tiny-text-heavy,171,dashboard-ux,10d,todo,Support/body copy moved to 13-14px baseline where applicable | Page passes luxury tiny-text static gate | Run: npm run ux:luxury:static:staged,tmp/luxury-ux-remediation-backlog.csv
LUX-W1-014,Wave 3,internal-dashboard,src/app/(dashboard)/dashboard/admin/customers/page.tsx,tiny-text-heavy,170,dashboard-ux,10d,todo,Support/body copy moved to 13-14px baseline where applicable | Page passes luxury tiny-text static gate | Run: npm run ux:luxury:static:staged,tmp/luxury-ux-remediation-backlog.csv
LUX-W1-015,Wave 3,internal-dashboard,src/app/(dashboard)/dashboard/admin/traces/page.tsx,tiny-text-heavy,170,dashboard-ux,10d,todo,Support/body copy moved to 13-14px baseline where applicable | Page passes luxury tiny-text static gate | Run: npm run ux:luxury:static:staged,tmp/luxury-ux-remediation-backlog.csv
LUX-W1-016,Wave 3,internal-dashboard,src/app/(dashboard)/dashboard/page.tsx,tiny-text-heavy,170,dashboard-ux,10d,todo,Support/body copy moved to 13-14px baseline where applicable | Page passes luxury tiny-text static gate | Run: npm run ux:luxury:static:staged,tmp/luxury-ux-remediation-backlog.csv
LUX-W1-017,Wave 3,internal-dashboard,src/app/(dashboard)/dashboard/admin/onboarding/qa/page.tsx,tiny-text-heavy,168,dashboard-ux,10d,todo,Support/body copy moved to 13-14px baseline where applicable | Page passes luxury tiny-text static gate | Run: npm run ux:luxury:static:staged,tmp/luxury-ux-remediation-backlog.csv
LUX-W1-018,Wave 3,internal-dashboard,src/app/(dashboard)/dashboard/admin/crm/page.tsx,tiny-text-heavy,167,dashboard-ux,10d,todo,Support/body copy moved to 13-14px baseline where applicable | Page passes luxury tiny-text static gate | Run: npm run ux:luxury:static:staged,tmp/luxury-ux-remediation-backlog.csv
LUX-W1-019,Wave 3,internal-dashboard,src/app/(dashboard)/dashboard/admin/intelligence/qa/page.tsx,tiny-text-heavy,167,dashboard-ux,10d,todo,Support/body copy moved to 13-14px baseline where applicable | Page passes luxury tiny-text static gate | Run: npm run ux:luxury:static:staged,tmp/luxury-ux-remediation-backlog.csv
LUX-W1-020,Wave 3,internal-dashboard,src/app/(dashboard)/dashboard/admin/metrics/page.tsx,tiny-text-heavy,167,dashboard-ux,10d,todo,Support/body copy moved to 13-14px baseline where applicable | Page passes luxury tiny-text static gate | Run: npm run ux:luxury:static:staged,tmp/luxury-ux-remediation-backlog.csv
LUX-W1-021,Wave 3,internal-dashboard,src/app/(dashboard)/dashboard/admin/intelligence/page.tsx,excess-uppercase-micro-labels,164,dashboard-ux,10d,todo,Uppercase micro labels reduced to occasional metadata only | Page passes uppercase micro-label threshold in static gate | Run: npm run ux:luxury:static:staged,tmp/luxury-ux-remediation-backlog.csv
LUX-W1-022,Wave 3,internal-dashboard,src/app/(dashboard)/dashboard/profile/page.tsx,tiny-text-heavy,163,dashboard-ux,10d,todo,Support/body copy moved to 13-14px baseline where applicable | Page passes luxury tiny-text static gate | Run: npm run ux:luxury:static:staged,tmp/luxury-ux-remediation-backlog.csv
LUX-W1-023,Wave 3,internal-dashboard,src/app/(dashboard)/dashboard/contacts/[id]/edit/page.tsx,tiny-text-heavy,161,dashboard-ux,10d,todo,Support/body copy moved to 13-14px baseline where applicable | Page passes luxury tiny-text static gate | Run: npm run ux:luxury:static:staged,tmp/luxury-ux-remediation-backlog.csv
LUX-W1-024,Wave 3,internal-dashboard,src/app/(dashboard)/dashboard/contacts/[id]/page.tsx,tiny-text-heavy,161,dashboard-ux,10d,todo,Support/body copy moved to 13-14px baseline where applicable | Page passes luxury tiny-text static gate | Run: npm run ux:luxury:static:staged,tmp/luxury-ux-remediation-backlog.csv
LUX-W1-025,Wave 3,internal-dashboard,src/app/(dashboard)/dashboard/offers/page.tsx,tiny-text-heavy,161,dashboard-ux,10d,todo,Support/body copy moved to 13-14px baseline where applicable | Page passes luxury tiny-text static gate | Run: npm run ux:luxury:static:staged,tmp/luxury-ux-remediation-backlog.csv
LUX-W1-026,Wave 3,internal-dashboard,src/app/(dashboard)/dashboard/signals/page.tsx,tiny-text-heavy,161,dashboard-ux,10d,todo,Support/body copy moved to 13-14px baseline where applicable | Page passes luxury tiny-text static gate | Run: npm run ux:luxury:static:staged,tmp/luxury-ux-remediation-backlog.csv
LUX-W1-027,Wave 3,internal-dashboard,src/app/(dashboard)/dashboard/admin/operations/page.tsx,tiny-text-heavy,160,dashboard-ux,10d,todo,Support/body copy moved to 13-14px baseline where applicable | Page passes luxury tiny-text static gate | Run: npm run ux:luxury:static:staged,tmp/luxury-ux-remediation-backlog.csv
LUX-W1-028,Wave 3,internal-dashboard,src/app/(dashboard)/dashboard/admin/product/page.tsx,tiny-text-heavy,160,dashboard-ux,10d,todo,Support/body copy moved to 13-14px baseline where applicable | Page passes luxury tiny-text static gate | Run: npm run ux:luxury:static:staged,tmp/luxury-ux-remediation-backlog.csv
LUX-W1-029,Wave 3,internal-dashboard,src/app/(dashboard)/dashboard/admin/revenue/page.tsx,tiny-text-heavy,160,dashboard-ux,10d,todo,Support/body copy moved to 13-14px baseline where applicable | Page passes luxury tiny-text static gate | Run: npm run ux:luxury:static:staged,tmp/luxury-ux-remediation-backlog.csv
LUX-W1-030,Wave 3,internal-dashboard,src/app/(dashboard)/dashboard/contacts/page.tsx,tiny-text-heavy,160,dashboard-ux,10d,todo,Support/body copy moved to 13-14px baseline where applicable | Page passes luxury tiny-text static gate | Run: npm run ux:luxury:static:staged,tmp/luxury-ux-remediation-backlog.csv
LUX-W1-031,Wave 3,internal-dashboard,src/app/(dashboard)/dashboard/outreach/page.tsx,tiny-text-heavy,160,dashboard-ux,10d,todo,Support/body copy moved to 13-14px baseline where applicable | Page passes luxury tiny-text static gate | Run: npm run ux:luxury:static:staged,tmp/luxury-ux-remediation-backlog.csv
