Issue Type,Summary,Description,Epic Name,Parent,Priority,Labels,Components,Story Points,Sprint,Owner,Dependencies
Epic,Grounded Truth (Brief Excellence),"Eliminate fabricated specificity at the brief generation layer. Exit criteria: zero unsourced proper nouns in a 50-brief sample; provenance attribution reflects real sources. Source: docs/brief-excellence-plan-2026-07-05.md Phase 1.",Grounded Truth (Brief Excellence),,Highest,"brief-excellence,epic,integrity,sprint-be-1",Product,,,,
Task,Evidence-count grounding gate for intel-heavy prep sections,"Count injected evidence (signals, documents, notes, scan results) per prep section. Below threshold, switch the prompt to pattern-language mode and label the section 'pattern analysis, not verified intel' with an add-evidence CTA. Acceptance Criteria: low-evidence sections never name people or dated events; label renders in prep UI; CTA routes to company documents/notes.",Grounded Truth (Brief Excellence),,Highest,"brief-excellence,grounding,sprint-be-1",Engineering,5,Sprint BE-1,Engineering Lead,
Task,Ground the onboarding intel brief with live signals,"Inject company_signals for the named company into the onboarding intel prompt when available; keep the existing pattern-language rule as the floor. Acceptance Criteria: a grounded signal reference appears when signals exist; output contains no fabricated names or dated events when they do not.",Grounded Truth (Brief Excellence),,Highest,"brief-excellence,grounding,sprint-be-1",Engineering,3,Sprint BE-1,Engineering Lead,
Task,Proper-noun evidence validator for generated briefs,"Server-side post-generation check: named people and dated events must match an injected evidence source or be rewritten to pattern language before persistence. Acceptance Criteria: zero unsourced proper nouns across a 50-brief regression sample; validator failures logged to llm_traces.",Grounded Truth (Brief Excellence),,Highest,"brief-excellence,validation,sprint-be-1",Engineering,5,Sprint BE-1,Engineering Lead,Evidence-count grounding gate for intel-heavy prep sections
Task,Attribution v2 with model-emitted source tagging,"Require generated claims tagged with source block IDs from the injected context; validate tags against context; classify unmatched claims as inferred; replace keyword-heuristic origin classification in prep provenance. Acceptance Criteria: origin classes derive from validated tags; confidence score reflects real attribution; brief quality ratings hold within 10% of baseline.",Grounded Truth (Brief Excellence),,High,"brief-excellence,provenance,sprint-be-1",Engineering,8,Sprint BE-1,Engineering Lead,Proper-noun evidence validator for generated briefs
Epic,Export Integrity (Brief Excellence),"Gates and provenance travel with every exported brief artifact. Exit criteria: no export path bypasses gates; exports carry a sources appendix; version history visible. Source: docs/brief-excellence-plan-2026-07-05.md Phase 2.",Export Integrity (Brief Excellence),,Highest,"brief-excellence,epic,integrity,sprint-be-2",Product,,,,
Task,Sensitive-claim export gate,"Block brief download/copy when sensitivePolicyHooks is non-empty until each flagged claim is reviewed; strip inferred sensitive claims entirely. Acceptance Criteria: no export path (DOCX, copy, plaintext) bypasses the gate; stripped claims logged.",Export Integrity (Brief Excellence),,Highest,"brief-excellence,export-gate,sprint-be-2",Engineering,5,Sprint BE-2,Engineering Lead,Attribution v2 with model-emitted source tagging
Task,Low-confidence export acknowledgment,"Require explicit acknowledgment at the export decision point when confidence band is low, with the remediation list shown. Acceptance Criteria: acknowledgment recorded per export; remediation list matches the confidence scorer output.",Export Integrity (Brief Excellence),,High,"brief-excellence,export-gate,sprint-be-2",Engineering,3,Sprint BE-2,Engineering Lead,Attribution v2 with model-emitted source tagging
Task,Provenance appendix in DOCX and plaintext exports,"Append a sources-and-confidence page to every export: origin-class counts, evidence sources used, generation date, confidence band. Acceptance Criteria: every export carries the appendix; appendix matches on-screen provenance state at export time.",Export Integrity (Brief Excellence),,High,"brief-excellence,provenance,sprint-be-2",Engineering,5,Sprint BE-2,Engineering Lead,Attribution v2 with model-emitted source tagging
Task,Brief version history UI,"Surface prior generations per company/section from the briefs table with comparison and restore. Acceptance Criteria: regeneration never destroys visible history; restore reproduces the prior artifact exactly.",Export Integrity (Brief Excellence),,High,"brief-excellence,versioning,sprint-be-2",Engineering,5,Sprint BE-2,Engineering Lead,
