week_start,metric_key,agent_role,metric_name,threshold_operator,threshold_value,actual_value,status,variance_to_threshold,source_system,source_object,source_field,owner,action_if_breached,notes
,global_new_sales_calls,Executive Control-Tower,New sales calls held per week,>=,15,,PENDING,,HubSpot,meetings,count_meetings_held,Founder,Increase founder call blocks and tighten prospect quality,
,global_trial_starts,Executive Control-Tower,Trial starts per week,>=,20,,PENDING,,HubSpot,deals,count_trial_started,Founder,Audit top-of-funnel conversion points,
,global_trial_to_paid,Executive Control-Tower,Trial to paid (rolling 4 weeks),>=,20,,PENDING,,Stripe+HubSpot,subscriptions,trial_to_paid_pct_4wk,Founder,Pause scale and focus lifecycle conversion,
,global_week2_activation,Executive Control-Tower,Week-2 activation,>=,60,,PENDING,,PostHog,events,week2_activated_pct,Product,Fix onboarding bottlenecks and nudge cadence,
,global_outreach_to_call,Executive Control-Tower,DM/email to call-booked rate,>=,8,,PENDING,,HubSpot,activities,outreach_to_call_pct,Founder,Rewrite messaging and tighten ICP list,
,global_30d_churn,Executive Control-Tower,30-day churn,<=,8,,PENDING,,Stripe,subscriptions,churn_30d_pct,CS,Add save play and improve early success,
,revops_required_fields,Revenue Operations,CRM records with required fields complete,>=,95,,PENDING,,HubSpot,contacts+deals,required_fields_complete_pct,Revenue Operations Agent,Run daily data hygiene pass,
,revops_next_step_set,Revenue Operations,Deals with next step and date populated,>=,98,,PENDING,,HubSpot,deals,next_step_with_date_pct,Revenue Operations Agent,Backfill all open opportunities,
,revops_followup_sla,Revenue Operations,Follow-ups completed within 24h SLA,>=,90,,PENDING,,HubSpot,tasks,followup_sla_24h_pct,Revenue Operations Agent,Auto-create and prioritize overdue tasks,
,revops_stalled_deals,Revenue Operations,Stalled deals older than 7 days,<=,5,,PENDING,,HubSpot,deals,stalled_deals_7d_count,Revenue Operations Agent,Escalate stale deals to founder,
,prospecting_icp_pass,Prospecting,Prospects added that pass ICP QA,>=,100,,PENDING,,Apollo+Sales Navigator,leads,icp_qa_pass_count,Prospecting Agent,Adjust filters and list sources,
,prospecting_invalid_rate,Prospecting,Invalid or bounced contact rate,<=,3,,PENDING,,Apollo,emails,invalid_contact_pct,Prospecting Agent,Run verification and source replacement,
,prospecting_lead_reply,Prospecting,Lead-to-reply rate on fresh lists,>=,12,,PENDING,,HubSpot,activities,lead_reply_pct,Prospecting Agent,Improve persona matching and copy inputs,
,prospecting_personalization,Prospecting,Leads with valid personalization signal,>=,85,,PENDING,,HubSpot,contacts,personalization_signal_pct,Prospecting Agent,Require signal before sequence enrollment,
,outreach_touch_volume,Outreach Execution,Weekly outreach volume,>=,150,,PENDING,,HubSpot,activities,outreach_touch_count,Outreach Agent,Rebalance volume across channels,
,outreach_positive_reply,Outreach Execution,Positive reply rate,>=,10,,PENDING,,HubSpot,activities,positive_reply_pct,Outreach Agent,Swap low-performing variants,
,outreach_call_booked,Outreach Execution,Call-booked rate from outreach,>=,8,,PENDING,,HubSpot,activities,call_booked_pct,Outreach Agent,Tighten CTA and targeting,
,outreach_compliance_incidents,Outreach Execution,Compliance incidents,<=,0,,PENDING,,HubSpot,activities,compliance_incident_count,Outreach Agent,Pause risky sequences and review,
