Issue Type,Summary,Description,Epic Name,Parent,Priority,Labels,Components,Story Points,Sprint,Owner,Dependencies
Epic,Role-Aware Workflow Expansion (Leadership Technical Delivery),Expand Starting Monday workflows beyond executives to include leadership technical leadership and delivery leadership role families with senior variants.,Role-Aware Workflow Expansion (Leadership Technical Delivery),,Highest,"role-expansion,workflows,epic,base-scenario",Product,,,Product Lead,
Epic,Signal Intelligence and Source Mining Expansion,Expand role-aware signal generation using announcements filings hiring and technical sources with monthly source discovery and quality controls.,Signal Intelligence and Source Mining Expansion,,Highest,"role-expansion,signals,epic,base-scenario",Data,,,Data Lead,
Epic,Relationship Targeting and Recruiter Intelligence,Build warm-path relationship targeting and recruiter-focused workflows to prioritize high-probability connections over volume outreach.,Relationship Targeting and Recruiter Intelligence,,Highest,"role-expansion,relationships,recruiters,epic,base-scenario",Product,,,Product Lead,
Epic,Contact Intelligence Premium and Legal Foundation,Launch premium contact intelligence with compliance guardrails terms privacy and consent controls.,Contact Intelligence Premium and Legal Foundation,,Highest,"role-expansion,contact-intelligence,legal,epic,base-scenario",Legal,,,Legal Lead,
Epic,GTM Brand and Learning System for New Roles,Deliver role-lane messaging brand updates learning content and launch operations for new role families.,GTM Brand and Learning System for New Roles,,High,"role-expansion,gtm,brand,learning,epic,base-scenario",Growth,,,Growth Lead,
Task,Define final role taxonomy with senior variants,Finalize role taxonomy across leadership technical leadership and delivery leadership including senior title mappings and workflow variants.,Role-Aware Workflow Expansion (Leadership Technical Delivery),,Highest,"role-expansion,taxonomy,sprint-rx1",Product,5,Sprint RX-1,Product Lead,
Task,Implement role profile schema and migrations,Create role family role title seniority and workflow variant schema with safe migrations and backfill strategy.,Role-Aware Workflow Expansion (Leadership Technical Delivery),,Highest,"role-expansion,data-model,sprint-rx1",Engineering,8,Sprint RX-1,Engineering Lead,Define final role taxonomy with senior variants
Task,Build onboarding role selection and routing,Ship role and seniority selection in onboarding and route users into family-specific workflow paths.,Role-Aware Workflow Expansion (Leadership Technical Delivery),,Highest,"role-expansion,onboarding,routing,sprint-rx1",Engineering,8,Sprint RX-1,Engineering Lead,Implement role profile schema and migrations
Task,Create role-specific brief generator v1,Add role-aware brief outputs for leadership technical leadership and delivery leadership users.,Role-Aware Workflow Expansion (Leadership Technical Delivery),,High,"role-expansion,briefs,sprint-rx2",Product,5,Sprint RX-2,Product Lead,Build onboarding role selection and routing
Task,Adapt templates and rubrics by role family,Implement role-family template packs and evaluation rubrics for workflows outreach and interview prep.,Role-Aware Workflow Expansion (Leadership Technical Delivery),,High,"role-expansion,templates,rubrics,sprint-rx2",Product,5,Sprint RX-2,Product Lead,Create role-specific brief generator v1
Task,Add manager tools bridge links with keyword prompts,Add interim manager tools links to main site with starter keywords for deeper dives.,Role-Aware Workflow Expansion (Leadership Technical Delivery),,Medium,"role-expansion,manager-tools,content,sprint-rx2",Content,3,Sprint RX-2,Content Lead,Adapt templates and rubrics by role family
