Issue Type,Summary,Description,Epic Name,Parent,Priority,Labels,Components,Story Points,Sprint,Owner,Dependencies
Epic,UI/UX Excellence Remediation (No-Disruption),Improve full-site UI/UX quality using council standards while preserving all functionality and key content.,UI/UX Excellence Remediation (No-Disruption),,Highest,"starting-monday,epic,ux,ui,council,no-disruption","UX,UI,Product,Engineering",,,,
Task,Baseline route family map and rollout batches,"Group all routes by family and risk, then define batch rollout order and ownership.",UI/UX Excellence Remediation (No-Disruption),,High,"ux-audit,planning",Product,3,Sprint UX-1,Product Lead,
Task,Implement heading ladder normalization wave 1,Add and normalize H1/H2/H3 hierarchy on top non-excellent marketing pages.,UI/UX Excellence Remediation (No-Disruption),,High,"ux,ia,accessibility",UX,8,Sprint UX-1,Design Lead,Baseline route family map and rollout batches
Task,Add quick-nav anchors to long marketing pages,Add in-page quick navigation anchors for long-form pages above length threshold.,UI/UX Excellence Remediation (No-Disruption),,High,"ux,ia,scroll-depth",Engineering,8,Sprint UX-1,Engineering Lead,Implement heading ladder normalization wave 1
Task,Split dense sections with progressive disclosure (marketing),Use details/accordion patterns for secondary content blocks with no copy loss.,UI/UX Excellence Remediation (No-Disruption),,High,"ux,content-architecture",UX,5,Sprint UX-1,Design Lead,Implement heading ladder normalization wave 1
Task,Run smoke checks after Sprint UX-1 batch,"Validate auth, onboarding, dashboard load, prep, outreach, billing after Wave 1.",UI/UX Excellence Remediation (No-Disruption),,Highest,"qa,smoke-tests",QA,3,Sprint UX-1,QA Lead,"Add quick-nav anchors to long marketing pages,Split dense sections with progressive disclosure (marketing)"
Task,Implement dashboard/admin IA structure wave,Improve heading structure and section chunking for high-risk dashboard/admin pages.,UI/UX Excellence Remediation (No-Disruption),,High,"dashboard,ia,ux",Engineering,8,Sprint UX-2,Engineering Lead,Baseline route family map and rollout batches
Task,Add top-of-page section index on long workflow pages,Create quick-jump blocks for long dashboard/admin screens.,UI/UX Excellence Remediation (No-Disruption),,High,"dashboard,ux,workflow",Engineering,5,Sprint UX-2,Engineering Lead,Implement dashboard/admin IA structure wave
Task,Collapse advanced controls by default (non-destructive),Hide advanced sections by default and preserve all existing interactions.,UI/UX Excellence Remediation (No-Disruption),,High,"workflow,progressive-disclosure",Engineering,8,Sprint UX-2,Engineering Lead,Implement dashboard/admin IA structure wave
Task,Run smoke checks after Sprint UX-2 batch,Execute full smoke pack and verify no route/form/API regressions.,UI/UX Excellence Remediation (No-Disruption),,Highest,"qa,smoke-tests",QA,3,Sprint UX-2,QA Lead,"Add top-of-page section index on long workflow pages,Collapse advanced controls by default (non-destructive)"
Task,Enforce CTA hierarchy on acquisition templates,"Apply one primary + one secondary CTA above fold on core marketing templates.",UI/UX Excellence Remediation (No-Disruption),,Highest,"conversion,cta,ux",Product,8,Sprint UX-3,Product Lead,
Task,Move trust blocks higher in page hierarchy,Promote privacy/security/confidentiality trust blocks toward top sections.,UI/UX Excellence Remediation (No-Disruption),,High,"trust,ux",UX,5,Sprint UX-3,Design Lead,Enforce CTA hierarchy on acquisition templates
Task,Move proof and outcome metrics above fold,Promote key outcome/proof blocks from deep sections into early layout positions.,UI/UX Excellence Remediation (No-Disruption),,High,"proof,conversion,ux",Product,5,Sprint UX-3,Product Lead,Enforce CTA hierarchy on acquisition templates
Task,Run smoke checks after Sprint UX-3 batch,Validate no content loss and no workflow regressions post CTA/trust/proof changes.,UI/UX Excellence Remediation (No-Disruption),,Highest,"qa,smoke-tests",QA,3,Sprint UX-3,QA Lead,"Move trust blocks higher in page hierarchy,Move proof and outcome metrics above fold"
Task,Add next-action blocks on priority workflow pages,Introduce top "Next action" modules on high-traffic dashboard pages.,UI/UX Excellence Remediation (No-Disruption),,High,"workflow,ux-efficiency",Engineering,8,Sprint UX-4,Engineering Lead,
Task,Optimize first-action path on dashboard/admin screens,Reduce first-action friction while preserving all existing controls and paths.,UI/UX Excellence Remediation (No-Disruption),,High,"workflow,conversion,dashboard",UX,8,Sprint UX-4,Design Lead,Add next-action blocks on priority workflow pages
Task,Run smoke checks after Sprint UX-4 batch,Verify time-to-first-action improvements and no functional regressions.,UI/UX Excellence Remediation (No-Disruption),,Highest,"qa,smoke-tests",QA,3,Sprint UX-4,QA Lead,Optimize first-action path on dashboard/admin screens
Task,Create UI/UX release checklist and PR gate,Create checklist for heading/CTA/trust/scroll and require in UI-impacting PRs.,UI/UX Excellence Remediation (No-Disruption),,High,"governance,qa,release",QA,5,Sprint UX-5,QA Lead,
Task,Implement route-level UX instrumentation (top 30 routes),Track scroll depth/time-to-first-action/CTA CTR/completion for priority routes.,UI/UX Excellence Remediation (No-Disruption),,High,"analytics,ux-metrics",Engineering,8,Sprint UX-5,Engineering Lead,Create UI/UX release checklist and PR gate
Task,Define batch rollout smoke protocol and evidence log,Standardize before/after smoke evidence and rollback protocol per batch.,UI/UX Excellence Remediation (No-Disruption),,High,"release,qa,ops",Ops,5,Sprint UX-5,Ops Lead,Create UI/UX release checklist and PR gate
