Issue Type,Summary,Description,Epic Name,Parent,Priority,Labels,Components,Story Points,Sprint,Owner,Dependencies,Status,Deduplicate
Epic,Dashboard Enhancement Program - Snooze + Relationships + Plan + Standards,"Execute the finalized dashboard enhancement plan: productionized snooze controls, target company expansion clarity, hybrid Apollo + LinkedIn export relationship matching, editable plan page, and standards-based QA/instrumentation completion.",Dashboard Enhancement Program - Snooze + Relationships + Plan + Standards,,Highest,"dashboard-enhancement,relationships,plan,2026-06-22",Product,13,Sprint DE-1,Product Lead,,In Progress,true
Epic,Hybrid Relationship Matching (Apollo + LinkedIn Export),"Implement compliant relationship discovery by combining Apollo candidate generation with user-uploaded LinkedIn export matching and explicit user confirmation before known-connection status.",Hybrid Relationship Matching (Apollo + LinkedIn Export),,Highest,"relationships,apollo,linkedin-export,compliance,2026-06-22",Engineering,13,Sprint DE-1,Engineering Lead,,In Progress,true
Epic,Editable Plan Page with Regeneration,"Deliver an editable weekly plan page with three suggested actions, user edits, regeneration, completion tracking, and weekly history.",Editable Plan Page with Regeneration,,High,"plan,weekly-loop,momentum,2026-06-22",Engineering,8,Sprint DE-2,Engineering Lead,,To Do,true
Epic,Standards and QA Completion Gate,"Ensure copy, architecture, instrumentation, accessibility, and mobile standards are enforced with release gates and tests.",Standards and QA Completion Gate,,High,"standards,qa,instrumentation,2026-06-22",QA,8,Sprint DE-3,QA Lead,,To Do,true
Task,DE1-01 Finalize snooze production rollout and telemetry,"Confirm snooze rollout behavior, add telemetry for activate/edit/resume actions, and verify no activity data loss when snooze is active.",Dashboard Enhancement Program - Snooze + Relationships + Plan + Standards,,Highest,"snooze,telemetry,p0,2026-06-22",Engineering,3,Sprint DE-1,Engineering Lead,,In Progress,true
Task,DE1-02 Target companies CTA and cap UX hardening,"Ensure Add more companies CTA clarity, enforce 25-company cap messaging for non-exec tiers, and validate unlimited tiers behavior.",Dashboard Enhancement Program - Snooze + Relationships + Plan + Standards,,Highest,"pipeline,tiers,ux,p0,2026-06-22",Engineering,3,Sprint DE-1,Engineering Lead,,In Progress,true
Task,DE1-03 Add hybrid match schema migration and RLS,"Ship database migration for linkedin_connection_uploads, linkedin_export_connections, company_people_connection_matches, and matching run audit tables with RLS.",Hybrid Relationship Matching (Apollo + LinkedIn Export),,Highest,"relationships,db,rls,p0,2026-06-22",Engineering,5,Sprint DE-1,Engineering Lead,,In Progress,true
Task,DE1-04 Build deterministic normalization and fuzzy matching rules,"Implement normalization, similarity scoring, and tier classification with fixed thresholds: high(0.96/0.92), medium(0.90/0.80), low(0.84/0.70).",Hybrid Relationship Matching (Apollo + LinkedIn Export),,Highest,"relationships,matching,thresholds,p0,2026-06-22",Engineering,5,Sprint DE-1,Engineering Lead,DE1-03 Add hybrid match schema migration and RLS,In Progress,true
Task,DE1-05 LinkedIn export upload parser and ingestion job,"Add CSV upload parser for LinkedIn export, normalize fields, persist ingestion rows, and record upload processing status/errors.",Hybrid Relationship Matching (Apollo + LinkedIn Export),,Highest,"relationships,linkedin-export,ingestion,p0,2026-06-22",Engineering,8,Sprint DE-1,Engineering Lead,DE1-03 Add hybrid match schema migration and RLS,To Do,true
Task,DE1-06 Apollo candidate join and match run orchestrator,"Join Apollo candidates to export connections, persist match candidates with provenance, and expose high/medium/low confidence tiers.",Hybrid Relationship Matching (Apollo + LinkedIn Export),,Highest,"relationships,apollo,orchestration,p0,2026-06-22",Engineering,8,Sprint DE-1,Engineering Lead,"DE1-04 Build deterministic normalization and fuzzy matching rules | DE1-05 LinkedIn export upload parser and ingestion job",To Do,true
Task,DE2-01 Build relationship page sections for likely known/suggested/confirmed,"Create relationship page sections: Likely known to you, Suggested by Apollo, Confirmed relationships, with confidence badges and provenance labels.",Hybrid Relationship Matching (Apollo + LinkedIn Export),,High,"relationships,ui,ux,p1,2026-06-22",Engineering,8,Sprint DE-2,Engineering Lead,DE1-06 Apollo candidate join and match run orchestrator,To Do,true
