Issue Type,Summary,Description,Epic Name,Parent,Priority,Labels,Components,Story Points,Sprint,Owner,Dependencies
Epic,Integrated Transition System Gap Closure (Trust and Proof),"Close trust, proof, and claims-discipline gaps across coach, outplacement, and executive surfaces so public promise matches verified product reality.",Integrated Transition System Gap Closure (Trust and Proof),,Highest,"integrated-transition,trust,proof,epic",Product,,,Product Lead,
Epic,Integrated Transition System Gap Closure (Coach and Counselor OS),"Complete the coach and counselor operating system with pre-session preparation, weekly ritual structure, confidence markers, and team-scale views.",Integrated Transition System Gap Closure (Coach and Counselor OS),,Highest,"integrated-transition,coaches,counselors,epic",Product,,,Product Lead,
Epic,Integrated Transition System Gap Closure (Executive Lifecycle),"Expand Starting Monday from active-search infrastructure into a full executive transition lifecycle system covering optionality, active campaign, and post-landing continuity.",Integrated Transition System Gap Closure (Executive Lifecycle),,Highest,"integrated-transition,executives,lifecycle,epic",Product,,,Product Lead,
Epic,Integrated Transition System Gap Closure (Partner and Sponsor OS),"Productize the partner operating system for outplacement and enterprise-coaching buyers with operator proof, sponsor reporting, and cohort governance.",Integrated Transition System Gap Closure (Partner and Sponsor OS),,Highest,"integrated-transition,partners,sponsors,epic",Product,,,Product Lead,
Task,Audit coach trust and compliance claims,"Review all public coach-facing trust, proof, privacy, and compliance statements across landing, FAQ, trust pack, and related proof surfaces. Acceptance Criteria: all claims tagged as verified, directional, diligence-gated, or remove; unsupported claims list approved by Product and Legal owner.",Integrated Transition System Gap Closure (Trust and Proof),,Highest,"integrated-transition,trust,coach,its-1",Content,5,Sprint ITS-1,Content Lead,
Task,Audit outplacement trust and proof claims,"Review all public outplacement trust, governance, proof, and KPI claims across partner preview, economics, trust pack, runbook, and scorecard surfaces. Acceptance Criteria: all public partner claims mapped to evidence or downgraded; open diligence gaps documented.",Integrated Transition System Gap Closure (Trust and Proof),,Highest,"integrated-transition,trust,outplacement,its-1",Content,5,Sprint ITS-1,Content Lead,
Task,Publish claims taxonomy and public proof policy,"Create canonical framework separating verified public claims, directional pilot claims, diligence-gated claims, and roadmap statements. Acceptance Criteria: policy published and linked from internal operating docs; copy team signoff complete.",Integrated Transition System Gap Closure (Trust and Proof),,High,"integrated-transition,trust,policy,its-1",Product,3,Sprint ITS-1,Product Lead,"Audit coach trust and compliance claims | Audit outplacement trust and proof claims"
Task,Publish artifact ownership and refresh register,"Create owner, refresh cadence, and contract-map register for trust packs, metric dictionaries, proof sheets, and sponsor templates. Acceptance Criteria: artifact register published with named owners and review cadence; stale artifact risk = visible.",Integrated Transition System Gap Closure (Trust and Proof),,High,"integrated-transition,governance,artifacts,its-1",Operations,3,Sprint ITS-1,Operations Lead,"Publish claims taxonomy and public proof policy"
Task,Remediate coach FAQ and trust-pack language,"Rewrite coach-facing trust surfaces to remove unsupported compliance and security statements and align with approved taxonomy. Acceptance Criteria: coach FAQ and trust pack updated; no unsupported SOC2/HIPAA-style assertions remain.",Integrated Transition System Gap Closure (Trust and Proof),,Highest,"integrated-transition,coach,trust,its-2",Content,5,Sprint ITS-2,Content Lead,"Audit coach trust and compliance claims | Publish claims taxonomy and public proof policy"
Task,Add named coach proof asset block,"Publish named or permissioned coach proof assets with role context and before/after workflow outcomes. Acceptance Criteria: at least two named coach proof assets live on relevant surfaces; source notes attached.",Integrated Transition System Gap Closure (Trust and Proof),,High,"integrated-transition,coach,proof,its-2",Growth,5,Sprint ITS-2,Growth Lead,"Publish claims taxonomy and public proof policy"
Task,Add named executive and partner evidence block,"Publish named or permissioned executive and partner outcome evidence with methodology notes. Acceptance Criteria: at least one executive proof asset and one partner proof asset live; evidence linked from public pages.",Integrated Transition System Gap Closure (Trust and Proof),,High,"integrated-transition,executives,partners,proof,its-2",Growth,5,Sprint ITS-2,Growth Lead,"Audit outplacement trust and proof claims | Publish claims taxonomy and public proof policy"
Task,Add capability-vs-roadmap disclosure pattern,"Add consistent disclosure treatment for live capability, pilot-only capability, and roadmap items across coach, executive, and partner surfaces. Acceptance Criteria: disclosure component shipped and applied to identified pages.",Integrated Transition System Gap Closure (Trust and Proof),,Medium,"integrated-transition,trust,roadmap,its-2",Engineering,3,Sprint ITS-2,Engineering Lead,"Publish claims taxonomy and public proof policy"
Task,Ship coach pre-session snapshot,"Build first-class coach pre-session artifact centered on what changed since last touch, stalled lanes, overdue actions, prep reviewed, and next decision. Acceptance Criteria: coach can prep for a session from one screen in under two minutes.",Integrated Transition System Gap Closure (Coach and Counselor OS),,Highest,"integrated-transition,coach,workflow,its-2",Engineering,8,Sprint ITS-2,Engineering Lead,
Task,Redesign weekly review ritual,"Refactor weekly review flow around decision, risk, narrative shift, and next action instead of loose note capture. Acceptance Criteria: review UI and saved artifact support the four-part ritual; coach-facing clarity improves.",Integrated Transition System Gap Closure (Coach and Counselor OS),,High,"integrated-transition,coach,ritual,its-2",Engineering,5,Sprint ITS-2,Engineering Lead,"Ship coach pre-session snapshot"
Task,Add confidence momentum and narrative-drift fields,"Add structured fields to capture client confidence, momentum, and narrative drift during transition. Acceptance Criteria: fields stored, surfaced in review flow, and visible in coach workspace with lightweight trend context.",Integrated Transition System Gap Closure (Coach and Counselor OS),,High,"integrated-transition,coach,signals,its-3",Engineering,5,Sprint ITS-3,Engineering Lead,"Redesign weekly review ritual"
Task,Build coach firm-admin and cohort-admin views,"Add multi-coach portfolio and cohort visibility for boutique and enterprise coaching organizations. Acceptance Criteria: firm admin can compare coach adoption, risk, and progress across client books or cohorts.",Integrated Transition System Gap Closure (Coach and Counselor OS),,Highest,"integrated-transition,coach,admin,its-5",Engineering,8,Sprint ITS-5,Engineering Lead,"Ship coach pre-session snapshot | Add confidence momentum and narrative-drift fields"
Task,Add counselor-facing prep and intervention layer,"Create counselor-focused prep and intervention view or demo artifact showing what changed, red flags, and next recommended intervention. Acceptance Criteria: counselor workflow is first-class and no longer only implied by documentation.",Integrated Transition System Gap Closure (Coach and Counselor OS),,High,"integrated-transition,counselor,workflow,its-5",Engineering,5,Sprint ITS-5,Engineering Lead,"Ship coach pre-session snapshot"
Task,Build coach ROI calculator by practice model,"Create ROI model for solo coach, boutique firm, and team practice using prep time recovered, client readiness lift, and capacity effect. Acceptance Criteria: calculator published and references approved metric assumptions.",Integrated Transition System Gap Closure (Coach and Counselor OS),,Medium,"integrated-transition,coach,economics,its-6",Product,5,Sprint ITS-6,Product Lead,"Add named coach proof asset block"
Task,Instrument coach workflow proof dashboard,"Add dashboard metrics for pre-session snapshot usage, weekly review completion, confidence trend capture, and session-prep readiness. Acceptance Criteria: instrumentation events live and dashboard panels published.",Integrated Transition System Gap Closure (Coach and Counselor OS),,Medium,"integrated-transition,coach,analytics,its-6",Analytics,5,Sprint ITS-6,Analytics Lead,"Ship coach pre-session snapshot | Redesign weekly review ritual | Add confidence momentum and narrative-drift fields"
Task,Launch executive optionality mode with persona variants,"Create optionality mode for in-role executives with low-visibility signal monitoring, relationship warming, and quiet cadence support. Acceptance Criteria: optionality flow includes differentiated variants for in-role optionality, active transition, post-landing transition, and board-track executives; messaging clearly separates optionality from active search.",Integrated Transition System Gap Closure (Executive Lifecycle),,Highest,"integrated-transition,executives,optionality,its-3",Engineering,8,Sprint ITS-3,Engineering Lead,
