Issue Type,Summary,Description,Epic Name,Parent,Priority,Labels,Components,Story Points,Sprint,Owner,Dependencies
Epic,Sitewide Luxury-Modern Elevation (2026-2027),"Elevate Starting Monday to benchmark-level quality against Atlassian, Notion, Lucid, and Slack across luxury feel, modern polish, usefulness signaling, trust packaging, and conversion efficiency.",Sitewide Luxury-Modern Elevation (2026-2027),,Highest,"luxury-modern,epic,ux,conversion,trust",Product,,,,
Task,Finalize page-level copy pack for homepage and 4 channel pages,"Finalize exact approved copy for /, /for-executives, /for-coaches, /for-outplacement, and /for-search-firms from the redesign brief. Acceptance Criteria: approved copy doc signed off by Product and Growth; all hero/CTA/trust/proof lines frozen for build; unresolved copy decisions = 0.",Sitewide Luxury-Modern Elevation (2026-2027),,Highest,"luxury-modern,copy,phase-1",Product,5,Sprint LUX-1,Product Lead,
Task,Approve luxury-modern visual direction and token spec,"Lock visual direction for typography, spacing, surfaces, and color tokens including mobile and desktop references. Acceptance Criteria: token list approved; Figma reference approved; component usage rules documented.",Sitewide Luxury-Modern Elevation (2026-2027),,High,"luxury-modern,design-system,phase-1",UX,3,Sprint LUX-1,Design Lead,
Task,Implement typography spacing and surface tokens in code,"Implement design tokens for premium typography scale, spacing rhythm, and neutral/accent surfaces in shared styles. Acceptance Criteria: tokens available in codebase; no hard-coded one-off values on redesigned pages; token docs updated.",Sitewide Luxury-Modern Elevation (2026-2027),,High,"luxury-modern,design-system,engineering",Engineering,5,Sprint LUX-1,Engineering Lead,Approve luxury-modern visual direction and token spec
Task,Build shared premium marketing components,"Implement reusable components: PremiumHero, TrustRail, EvidencePanel, ProofStrip, and ArtifactPreview for all key entry pages. Acceptance Criteria: components shipped with props API docs; used by at least one pilot page; visual snapshots added.",Sitewide Luxury-Modern Elevation (2026-2027),,Highest,"luxury-modern,components,engineering",Engineering,8,Sprint LUX-1,Engineering Lead,Implement typography spacing and surface tokens in code
Task,Instrument redesign analytics and baseline dashboard,"Add events for premium CTA clicks, proof artifact opens, and cadence section engagement; publish baseline dashboard. Acceptance Criteria: events firing in staging; dashboard with baseline metrics live; event schema documented.",Sitewide Luxury-Modern Elevation (2026-2027),,High,"luxury-modern,analytics,phase-1",Analytics,5,Sprint LUX-1,Analytics Lead,Finalize page-level copy pack for homepage and 4 channel pages
Task,Capture UX and performance baselines for 5 key pages,"Record pre-redesign UX rubric score, bounce, conversion, lighthouse, and mobile quality metrics for the five phase-1 pages. Acceptance Criteria: baseline report published; values linked to epic metrics table; QA signoff completed.",Sitewide Luxury-Modern Elevation (2026-2027),,High,"luxury-modern,baseline,qa",QA,3,Sprint LUX-1,QA Lead,
Task,Implement homepage luxury-modern redesign,"Implement exact homepage copy and component changes from redesign brief including hero, proof strip, trust rail, and channel cards. Acceptance Criteria: copy matches brief exactly; trust/proof above fold; primary and secondary CTA telemetry enabled.",Sitewide Luxury-Modern Elevation (2026-2027),,Highest,"luxury-modern,homepage,phase-1",Engineering,8,Sprint LUX-2,Engineering Lead,"Build shared premium marketing components | Finalize page-level copy pack for homepage and 4 channel pages"
Task,Implement executives page luxury-modern redesign,"Implement /for-executives redesign including cadence module, accountability scorecard, trust rail, and revised hero copy. Acceptance Criteria: section architecture matches brief; all new modules responsive; CTA instrumentation active.",Sitewide Luxury-Modern Elevation (2026-2027),,High,"luxury-modern,executives,phase-1",Engineering,8,Sprint LUX-2,Engineering Lead,"Build shared premium marketing components | Finalize page-level copy pack for homepage and 4 channel pages"
Task,Implement coaches page luxury-modern redesign,"Implement /for-coaches redesign with premium hero, outcomes grid, role boundary refinement, and pilot decision framing. Acceptance Criteria: role-boundary copy updated; proof strip upgraded; trust and economics CTAs visible and tracked.",Sitewide Luxury-Modern Elevation (2026-2027),,High,"luxury-modern,coaches,phase-1",Engineering,8,Sprint LUX-2,Engineering Lead,"Build shared premium marketing components | Finalize page-level copy pack for homepage and 4 channel pages"
Task,Implement search firms page luxury-modern redesign,"Implement /for-search-firms redesign with cadence fit module, KPI row, artifact preview, and concise premium narrative. Acceptance Criteria: cadence and KPI modules present; copy matches brief; artifact CTA above fold and tracked.",Sitewide Luxury-Modern Elevation (2026-2027),,High,"luxury-modern,search-firms,phase-1",Engineering,8,Sprint LUX-2,Engineering Lead,"Build shared premium marketing components | Finalize page-level copy pack for homepage and 4 channel pages"
Task,Implement outplacement page luxury-modern redesign,"Implement /for-outplacement redesign with program outcomes module, governance cadence block, and revised objections framing. Acceptance Criteria: dense copy reduced; outcome cards and trust copy present; CTA instrumentation active.",Sitewide Luxury-Modern Elevation (2026-2027),,High,"luxury-modern,outplacement,phase-1",Engineering,8,Sprint LUX-2,Engineering Lead,"Build shared premium marketing components | Finalize page-level copy pack for homepage and 4 channel pages"
Task,Validate proof claims source notes and attribution lines,"Validate all metrics, quotes, and attribution lines used in redesigned pages for compliance and consistency. Acceptance Criteria: each proof claim has source note; legal/comms review complete; no unverified claim in released copy.",Sitewide Luxury-Modern Elevation (2026-2027),,High,"luxury-modern,proof,compliance",Content,5,Sprint LUX-2,Content Lead,Finalize page-level copy pack for homepage and 4 channel pages
Task,Run mobile-first responsive polish for phase-1 pages,"Perform responsive visual polish and layout tuning across iPhone, Android, and tablet breakpoints for all phase-1 pages. Acceptance Criteria: no overlap/clipping issues; typographic hierarchy preserved; mobile rubric pass >= target.",Sitewide Luxury-Modern Elevation (2026-2027),,High,"luxury-modern,mobile,phase-1",UX,5,Sprint LUX-2,Design Lead,"Implement homepage luxury-modern redesign | Implement executives page luxury-modern redesign | Implement coaches page luxury-modern redesign | Implement search firms page luxury-modern redesign | Implement outplacement page luxury-modern redesign"
Task,Phase-1 QA visual and accessibility gate,"Run visual regression, accessibility checks, and conversion-path smoke tests for redesigned phase-1 pages. Acceptance Criteria: critical visual diffs resolved; WCAG blocking issues = 0; signup and proof CTA flows pass.",Sitewide Luxury-Modern Elevation (2026-2027),,Highest,"luxury-modern,qa,phase-1",QA,5,Sprint LUX-2,QA Lead,"Run mobile-first responsive polish for phase-1 pages | Validate proof claims source notes and attribution lines"
Task,Enable phased rollout behind feature flags,"Release redesigned phase-1 pages behind feature flags with safe rollback and environment controls. Acceptance Criteria: flags configurable by environment; rollback validated; production rollout checklist complete.",Sitewide Luxury-Modern Elevation (2026-2027),,High,"luxury-modern,release,flags",Engineering,3,Sprint LUX-3,Engineering Lead,Phase-1 QA visual and accessibility gate
Task,Launch A/B experiments for hero and proof ordering,"Run experiments for hero framing and proof module ordering on phase-1 pages. Acceptance Criteria: experiment definitions approved; traffic split configured; success metrics tied to conversion and bounce.",Sitewide Luxury-Modern Elevation (2026-2027),,High,"luxury-modern,experiments,growth",Growth,5,Sprint LUX-3,Growth Lead,"Enable phased rollout behind feature flags | Instrument redesign analytics and baseline dashboard"
Task,Publish 14-day phase-1 performance readout,"Publish conversion, bounce, scroll depth, and trust/proof engagement deltas after 14 days. Acceptance Criteria: readout includes winners/losers by page; decisions logged; iteration backlog prioritized.",Sitewide Luxury-Modern Elevation (2026-2027),,High,"luxury-modern,analytics,reporting",Growth,3,Sprint LUX-3,Growth Lead,Launch A/B experiments for hero and proof ordering
Task,Implement phase-1 iteration wave from experiment learnings,"Apply highest-impact experiment learnings to phase-1 pages and remove losing variants. Acceptance Criteria: winning variant shipped; regression checks pass; post-iteration metrics show no decline.",Sitewide Luxury-Modern Elevation (2026-2027),,High,"luxury-modern,iteration,phase-1",Engineering,5,Sprint LUX-3,Engineering Lead,Publish 14-day phase-1 performance readout
Task,Redesign pricing page with premium system,"Apply premium token/component system to /pricing with trust and proof packaging aligned to phase-1 pattern. Acceptance Criteria: page matches premium design language; CTA hierarchy standardized; performance budget pass.",Sitewide Luxury-Modern Elevation (2026-2027),,High,"luxury-modern,pricing,phase-2",Engineering,8,Sprint LUX-4,Engineering Lead,Build shared premium marketing components
Task,Redesign method-and-evidence page for premium trust narrative,"Upgrade /method-and-evidence with refined hierarchy, source transparency, and premium trust framing. Acceptance Criteria: source sections clearer; readability score improved; trust module integrated.",Sitewide Luxury-Modern Elevation (2026-2027),,High,"luxury-modern,method-evidence,phase-2",Engineering,8,Sprint LUX-4,Engineering Lead,Build shared premium marketing components
Task,Redesign evidence-room page with premium proof architecture,"Rebuild /evidence-room to improve premium proof packaging and artifact discoverability. Acceptance Criteria: artifact preview cards live; source metadata visible; engagement events tracked.",Sitewide Luxury-Modern Elevation (2026-2027),,High,"luxury-modern,evidence-room,phase-2",Engineering,8,Sprint LUX-4,Engineering Lead,Build shared premium marketing components
Task,Upgrade concierge and core demo entry surfaces,"Apply premium architecture and CTA hierarchy to /concierge and primary demo entry points. Acceptance Criteria: first-viewport clarity improved; conversion path friction reduced; mobile QA pass.",Sitewide Luxury-Modern Elevation (2026-2027),,Medium,"luxury-modern,concierge,demo,phase-2",Engineering,8,Sprint LUX-4,Engineering Lead,Build shared premium marketing components
Task,Run phase-2 QA performance and accessibility gate,"Run visual, accessibility, funnel smoke, and lighthouse checks for phase-2 pages. Acceptance Criteria: no Sev-1 or Sev-2 issues; lighthouse thresholds pass; CI evidence attached.",Sitewide Luxury-Modern Elevation (2026-2027),,Highest,"luxury-modern,qa,phase-2",QA,5,Sprint LUX-4,QA Lead,"Redesign pricing page with premium system | Redesign method-and-evidence page for premium trust narrative | Redesign evidence-room page with premium proof architecture | Upgrade concierge and core demo entry surfaces"
Task,Roll premium system to top 20 marketing pages by traffic,"Apply approved premium components and copy hierarchy to top 20 non-core marketing pages by traffic. Acceptance Criteria: all target pages migrated; no design drift from token system; traffic-weighted QA complete.",Sitewide Luxury-Modern Elevation (2026-2027),,High,"luxury-modern,rollout,phase-3",Engineering,13,Sprint LUX-5,Engineering Lead,Run phase-2 QA performance and accessibility gate
Task,Add sitewide trust proof placement governance and PR checklist gate,"Create governance rules and PR checklist requiring trust/proof placement, CTA hierarchy, and source transparency on key marketing pages. Acceptance Criteria: checklist added to PR template; non-compliant PRs blocked; governance doc published.",Sitewide Luxury-Modern Elevation (2026-2027),,High,"luxury-modern,governance,qa",QA,5,Sprint LUX-5,QA Lead,Roll premium system to top 20 marketing pages by traffic
Task,Publish premium tone and copy governance guide,"Publish style guidance for luxury-modern voice, proof language, and executive-safe tone across marketing pages. Acceptance Criteria: guide published; examples for each channel included; content team signoff complete.",Sitewide Luxury-Modern Elevation (2026-2027),,Medium,"luxury-modern,content,governance",Content,3,Sprint LUX-5,Content Lead,Finalize page-level copy pack for homepage and 4 channel pages
Task,Refresh visual regression baselines after sitewide rollout,"Update screenshot baselines and visual tests after migration of top 20 pages. Acceptance Criteria: baseline refresh merged; flaky snapshots resolved; CI visual gate stable.",Sitewide Luxury-Modern Elevation (2026-2027),,Medium,"luxury-modern,visual-regression,qa",QA,5,Sprint LUX-5,QA Lead,Roll premium system to top 20 marketing pages by traffic
Task,Run council re-audit and publish score delta report,"Re-run UX/UI and synthetic council scoring to measure baseline-to-final improvements. Acceptance Criteria: score delta report published; metric targets marked pass/fail; unresolved gaps logged.",Sitewide Luxury-Modern Elevation (2026-2027),,Highest,"luxury-modern,council,audit",QA,5,Sprint LUX-6,QA Lead,"Refresh visual regression baselines after sitewide rollout | Add sitewide trust proof placement governance and PR checklist gate"
Task,Harden CI gates for premium quality metrics,"Enforce CI checks for lighthouse budgets, visual drift, CTA telemetry, and trust/proof module presence on key pages. Acceptance Criteria: CI checks active; failing conditions documented; runbook updated.",Sitewide Luxury-Modern Elevation (2026-2027),,High,"luxury-modern,ci,quality",Engineering,5,Sprint LUX-6,Engineering Lead,Run council re-audit and publish score delta report
Task,Publish epic closeout and next-quarter backlog,"Publish executive closeout with metric outcomes, lessons learned, and prioritized carry-over backlog. Acceptance Criteria: closeout approved by Product and Growth; next-quarter backlog ranked; epic marked complete.",Sitewide Luxury-Modern Elevation (2026-2027),,Medium,"luxury-modern,closeout,roadmap",Product,3,Sprint LUX-6,Product Lead,"Run council re-audit and publish score delta report | Harden CI gates for premium quality metrics"
