ticket_id,title,sprint,owner,acceptance_criteria,estimated_effort_points,status,dependencies
S1-001,Approve channel and persona IA spec,1,Product Lead,"IA spec for Executive Coaches Outplacement Search Firms approved; persona matrix signed off by Product Design GTM",5,planned,
S1-002,Define council score measurement contract,1,Product Ops,"Scorecard template finalized; baseline loaded for all council members; owner assigned per metric",3,planned,
S1-003,Define micro-product taxonomy and naming,1,Product Strategy,"Micro-product names scope boundaries and not-for statements approved",3,planned,S1-001
S1-004,Create route map and URL architecture,1,Frontend Lead,"Route map includes channel and persona paths; URL conventions documented",5,planned,S1-001
S1-005,Instrument baseline analytics events,1,Data Engineer,"Event schema published; baseline funnel metrics visible in dashboard",5,planned,S1-002
S2-001,Build landing channel split UI,2,Frontend Engineer,"Landing page shows four channel entries with dedicated CTA and tracking",8,planned,S1-001
S2-002,Ship channel-specific hero copy blocks,2,Content Lead,"Each channel has audience-specific hero pain proof CTA sequence",5,planned,S1-003
S2-003,Add trust blocks per channel,2,Trust and Compliance Lead,"Trust proof appears above primary CTA on each channel page",5,planned,S2-001
S2-004,Launch staging experiment for channel entry CTR,2,Growth Lead,"A/B test live in staging; baseline and target CTR defined",3,planned,S2-001
S2-005,Implement channel benchmark dashboard,2,Data Engineer,"Channel CTR and downstream conversion benchmark visible by segment",3,planned,S1-005
S3-001,Executive persona route buttons and pages,3,Frontend Engineer,"All executive personas have dedicated button page and route telemetry",8,planned,S2-001
S3-002,Coaches persona route buttons and pages,3,Frontend Engineer,"All coach personas have dedicated button page and route telemetry",8,planned,S2-001
S3-003,Outplacement buyer-role routes,3,Frontend Engineer,"Practice leader ops counselor procurement role paths implemented and tracked",8,planned,S2-001
S3-004,Search-firm sub-persona routes,3,Frontend Engineer,"Search-firm sub-persona routes implemented with dedicated CTA and tracking",5,planned,S2-001
S3-005,Passive vs active executive mode split,3,Product Designer,"Mode selector and separate journey logic shipped and usability tested",8,planned,S3-001
S3-006,Persona-routing telemetry QA,3,QA Lead,"All persona route events validated in analytics with less than 2 percent loss",3,planned,S3-001
S4-001,Stripe micro-product pricing model setup,4,Revenue Ops Lead,"Stripe products prices coupons and billing intervals configured for first two micro-products",8,planned,S1-003
S4-002,Micro-product catalog schema and admin UX,4,Backend Engineer,"Catalog schema supports channel persona bundle status; admin CRUD operational",8,planned,S4-001
S4-003,B2B bundle and entitlement mapping,4,Backend Engineer,"Bundle SKUs map to entitlements; seat provisioning supports partner accounts",8,planned,S4-001
S4-004,Site embed points for micro-products,4,Frontend Engineer,"Micro-product cards embedded in channel pages and in-app upsell surfaces",5,planned,S4-002
