Issue Type,Summary,Description,Epic Name,Parent,Priority,Labels,Components,Story Points,Sprint,Owner,Dependencies,Status,Deduplicate
Epic,Non-Executive Landing Remediation (Scope + Urgency + Clarity),"Reduce cognitive load and improve conversion intent across non-executive landing pages. Scope anchored to docs/non-executive-landing-remediation-backlog.md. Source rationale tags: SM-1 (complexity), SM-2 (workflow clarity), SM-3 (proof stories), SM-4 (audience mismatch), SM-5 (why-now urgency).",Non-Executive Landing Remediation (Scope + Urgency + Clarity),,Highest,"nonexec-landing,landing-remediation,2026-06-19",Product,8,Sprint NEL-1,Product Lead,,In Progress,true
Task,P0-01 Template simplification and mode controls,"File scope: src/components/LandingPage.tsx. Add nonExecutiveMode guard, hide executive-only matrix for non-exec pages, collapse proof stack, reduce next-step chooser to primary+secondary CTA. Acceptance: <=6 primary sections and no executive-only modules on non-exec pages. Source rationale: SM-1, SM-4.",Non-Executive Landing Remediation (Scope + Urgency + Clarity),,Highest,"nonexec-landing,template,p0,sm1,sm4,2026-06-19",Engineering,8,Sprint NEL-1,Engineering Lead,,In Progress,true
Task,P0-02 Homepage clarity and urgency rewrite,"File scope: src/app/page.tsx. Rewrite hero to outcome-first copy, replace broad executive framing with role-transition language, reduce situations from 6 to 4, add why-now line above hero CTA. Acceptance: user can answer who/what/why-now in <10 seconds. Source rationale: SM-1, SM-4, SM-5.",Non-Executive Landing Remediation (Scope + Urgency + Clarity),,Highest,"nonexec-landing,homepage,p0,sm1,sm4,sm5,2026-06-19",Content,5,Sprint NEL-1,Content Lead,,In Progress,true
Task,P0-03 Lane-page audience correction,"File scope: src/app/for-executives/[lane]/page.tsx. Remove executive-only framing for manager/director/AVP/VP transitions, rewrite lane hero/FAQ wording for recruiter and hiring-manager audiences, simplify tutorial intro to one sentence. Source rationale: SM-1, SM-4, SM-5.",Non-Executive Landing Remediation (Scope + Urgency + Clarity),,Highest,"nonexec-landing,lanes,p0,sm1,sm4,sm5,2026-06-19",Engineering,8,Sprint NEL-1,Engineering Lead,,In Progress,true
Task,P0-04 VP Technology page rewrite for clarity and action,"File scope: src/app/for-vp-technology/page.tsx. Replace long hero narrative with concise urgency+outcome copy, convert steps to 3 operational bullets, add this-week action block, rewrite FAQ answers to VP hiring criteria language. Source rationale: SM-1, SM-2, SM-4, SM-5.",Non-Executive Landing Remediation (Scope + Urgency + Clarity),,Highest,"nonexec-landing,vp-technology,p0,sm1,sm2,sm4,sm5,2026-06-19",Engineering,8,Sprint NEL-1,Engineering Lead,,In Progress,true
Task,P1-01 Rollout language and section pass across non-exec for-* pages,"File scope: for-vp, for-coaches, for-outplacement, for-search-firms, for-financial-advisors, for-media-partners, for-relocation, for-cio-associations and related non-exec routes. Enforce section/CTA/FAQ budgets and audience vocabulary policy. Source rationale: SM-1, SM-4, SM-5.",Non-Executive Landing Remediation (Scope + Urgency + Clarity),,High,"nonexec-landing,rollout,p1,sm1,sm4,sm5,2026-06-19",Engineering,13,Sprint NEL-2,Engineering Lead,"P0-01 Template simplification and mode controls",In Progress,true
Task,P1-02 Add workflow clarity modules on non-exec pages,"Add standardized 3-step workflow module and first-week expectations across non-exec landing pages so users can visualize what happens after signup. Source rationale: SM-2.",Non-Executive Landing Remediation (Scope + Urgency + Clarity),,High,"nonexec-landing,workflow,p1,sm2,2026-06-19",Product,5,Sprint NEL-2,Product Lead,"P0-02 Homepage clarity and urgency rewrite | P0-04 VP Technology page rewrite for clarity and action",In Progress,true
Task,P1-03 Proof stories module by role type,"Replace proof overreliance on aggregate metrics with 2 to 3 role-matched stories per page type, while keeping one compact KPI strip. Source rationale: SM-3.",Non-Executive Landing Remediation (Scope + Urgency + Clarity),,High,"nonexec-landing,proof,p1,sm3,2026-06-19",Content,8,Sprint NEL-2,Content Lead,"P0-01 Template simplification and mode controls",In Progress,true
Task,P2-01 Instrument clarity and urgency metrics,"Track hero CTA CTR by route, drop-off before proof and next-step sections, and time to first interaction. Publish pre/post dashboard for P0 pages. Source rationale: SM-1, SM-5.",Non-Executive Landing Remediation (Scope + Urgency + Clarity),,Medium,"nonexec-landing,analytics,p2,sm1,sm5,2026-06-19",Analytics,5,Sprint NEL-3,Analytics Lead,"P0-01 Template simplification and mode controls | P0-02 Homepage clarity and urgency rewrite | P0-04 VP Technology page rewrite for clarity and action",In Progress,true
Task,P2-02 Add copy governance checklist to PR workflow,"Add checklist gates for role-language fit, workflow clarity, urgency presence, and CTA overload in PR template/docs so regressions are blocked. Source rationale: SM-1, SM-2, SM-4, SM-5.",Non-Executive Landing Remediation (Scope + Urgency + Clarity),,Medium,"nonexec-landing,governance,p2,sm1,sm2,sm4,sm5,2026-06-19",QA,3,Sprint NEL-3,QA Lead,"P1-01 Rollout language and section pass across non-exec for-* pages",In Progress,true
