"Issue Type","Summary","Description","Acceptance Criteria","Epic Name","Parent","Priority","Labels","Components","Story Points","Sprint","Owner","Dependencies"
"Epic","White-Label Transition MVP (8-10 Weeks)","Deliver a focused white-label transition product for partner firms with branded delivery, mixed-seniority tracks, cohort operations, trust/governance, and pilot-to-paid packaging.","","White-Label Transition MVP (8-10 Weeks)","","Highest","white-label,transition,mvp,epic,wl-2026q3","Product","","","Product Lead",""
"Story","Define white-label PRD and execution guardrails","Finalize MVP scope, non-goals, rollout constraints, and decision rights so partner requests do not create roadmap sprawl.","","White-Label Transition MVP (8-10 Weeks)","","Highest","white-label,prd,scope,wl-s1","Product","3","Sprint WL-1","Product Lead",""
"Sub-task","AC: PRD includes scope boundaries","Document in-scope and out-of-scope scope boundaries for the MVP.","PRD explicitly lists in-scope and out-of-scope capabilities.","White-Label Transition MVP (8-10 Weeks)","Define white-label PRD and execution guardrails","Highest","white-label,ac,prd,wl-s1","Product","1","Sprint WL-1","Product Lead",""
"Sub-task","AC: Success metrics and guardrail approved","Define success metrics and no-custom pilot boundary and secure cross-functional approval.","Success metrics and no-custom pilot boundary are approved by Product, Engineering, and Partnerships.","White-Label Transition MVP (8-10 Weeks)","Define white-label PRD and execution guardrails","Highest","white-label,ac,prd,wl-s1","Product","1","Sprint WL-1","Product Lead",""
"Story","Implement tenant entity and hard data scoping","Add tenant model and enforce tenant_id scoping across users, programs, cohorts, reports, and exports.","","White-Label Transition MVP (8-10 Weeks)","","Highest","white-label,multi-tenant,data-model,wl-s1","Engineering","8","Sprint WL-1","Engineering Lead","Define white-label PRD and execution guardrails"
"Sub-task","AC: Tenant schema delivered","Create tenant schema with branding and plan metadata fields.","Tenant table exists with required branding and plan metadata.","White-Label Transition MVP (8-10 Weeks)","Implement tenant entity and hard data scoping","Highest","white-label,ac,data-model,wl-s1","Engineering","2","Sprint WL-1","Engineering Lead",""
"Sub-task","AC: Cross-tenant access blocked","Enforce tenant scoping on all core reads and writes and validate with tests.","Cross-tenant access tests pass and all core read/write paths enforce tenant boundaries.","White-Label Transition MVP (8-10 Weeks)","Implement tenant entity and hard data scoping","Highest","white-label,ac,data-model,wl-s1","Engineering","2","Sprint WL-1","Engineering Lead",""
"Story","Build tenant branding controls","Enable firm logo, color theme, and branded email/digest template settings with safe defaults.","","White-Label Transition MVP (8-10 Weeks)","","High","white-label,branding,ui,wl-s1","Engineering","5","Sprint WL-1","Engineering Lead","Implement tenant entity and hard data scoping"
"Sub-task","AC: Branding settings editable","Allow firm admins to set logo and primary brand colors.","Firm admin can save and update logo and primary color settings.","White-Label Transition MVP (8-10 Weeks)","Build tenant branding controls","High","white-label,ac,branding,wl-s1","Engineering","1","Sprint WL-1","Engineering Lead",""
"Sub-task","AC: Branded previews render correctly","Support branded preview rendering with fallback defaults.","Email and digest previews render with tenant branding and valid fallback defaults.","White-Label Transition MVP (8-10 Weeks)","Build tenant branding controls","High","white-label,ac,branding,wl-s1","Engineering","1","Sprint WL-1","Engineering Lead",""
