Issue Type,Summary,Description,Epic Name,Parent,Priority,Labels,Components,Story Points,Sprint,Owner,Dependencies
Epic,Product Strategy & Roadmap,"Define product vision, roadmap governance, prioritization, and decision cadence.",Product Strategy & Roadmap,,High,"starting-monday,epic,roadmap",Product,,,,
Epic,UX/UI Quality System,"Create hand-audit and council-driven quality system for UX, UI, and messaging.",UX/UI Quality System,,High,"starting-monday,epic,ux,ui,quality","UX,UI,QA",,,,
Epic,Content Authority & SEO Engine,"Build repeatable content engine for blogs, articles, and authority channels.",Content Authority & SEO Engine,,High,"starting-monday,epic,content,seo",Marketing,,,,
Epic,Outreach Sales & Lead Engine,"Expand channel coverage, improve outreach targeting, and automate learning loops.",Outreach Sales & Lead Engine,,High,"starting-monday,epic,outreach,sales","Sales,Marketing",,,,
Epic,User Journeys Personas & Onboarding,Strengthen persona paths and onboarding conversion quality.,User Journeys Personas & Onboarding,,High,"starting-monday,epic,personas,onboarding","Product,UX",,,,
Epic,Intelligence Analytics & Pattern Recognition,"Improve scanner quality, scoring, and monitoring.",Intelligence Analytics & Pattern Recognition,,High,"starting-monday,epic,intelligence,analytics","Product,Engineering",,,,
Epic,Market Expansion & Offers,Bring executive search firm pages to parity and sharpen offer pages.,Market Expansion & Offers,,High,"starting-monday,epic,market-expansion","Product,Marketing,Sales",,,,
Epic,Synthetic Operating Model,Define and test synthetic council operating model for quality and governance.,Synthetic Operating Model,,Medium,"starting-monday,epic,synthetic-company","Operations,Product",,,,
Task,Set roadmap operating cadence,"Finalize roadmap operating model, owner cadence, and decision checkpoints.",Product Strategy & Roadmap,,High,"roadmap,governance",Product,3,Sprint 1,Founder,
Task,Prioritize initiatives with scoring model,Apply impact/urgency/effort/risk model and lock top 30-day plan.,Product Strategy & Roadmap,,High,"roadmap,prioritization",Product,3,Sprint 1,Founder,Set roadmap operating cadence
Task,Create quarterly roadmap review ritual,Implement monthly and quarterly roadmap review format with decision logs.,Product Strategy & Roadmap,,Medium,"roadmap,ops",Product,2,Sprint 2,Founder,Prioritize initiatives with scoring model
