"Issue Type","Summary","Description","Acceptance Criteria","Epic Name","Parent","Priority","Labels","Components","Story Points","Sprint","Owner","Dependencies"
"Epic","White-Label Transition MVP (8-10 Weeks)","Deliver a focused white-label transition product for partner firms (solo, boutique, outplacement) with branded delivery, mixed-seniority program tracks, cohort operations, trust/governance, and pilot-to-paid packaging.","","White-Label Transition MVP (8-10 Weeks)","","Highest","white-label,transition,mvp,epic,wl-2026q3","Product","","","Product Lead",""
"Story","Define white-label PRD and execution guardrails","Finalize MVP scope, non-goals, rollout constraints, and decision rights so partner requests do not create roadmap sprawl.","approved PRD includes in-scope, out-of-scope, success metrics, and no-custom pilot boundary; cross-functional signoff from Product, Engineering, Partnerships.","White-Label Transition MVP (8-10 Weeks)","","Highest","white-label,prd,scope,wl-s1","Product","3","Sprint WL-1","Product Lead",""
"Story","Implement tenant entity and hard data scoping","Add tenant model and enforce tenant_id scoping across users, programs, cohorts, reports, and exports.","tenant table exists with branding and plan metadata; all read/write paths enforce tenant scoping; cross-tenant access tests pass.","White-Label Transition MVP (8-10 Weeks)","","Highest","white-label,multi-tenant,data-model,wl-s1","Engineering","8","Sprint WL-1","Engineering Lead","Define white-label PRD and execution guardrails"
"Story","Build tenant branding controls","Enable firm logo, color theme, and branded email/digest template settings with safe defaults.","firm admin can set logo and primary colors; branded email preview and digest preview render correctly; fallback default branding works.","White-Label Transition MVP (8-10 Weeks)","","High","white-label,branding,ui,wl-s1","Engineering","5","Sprint WL-1","Engineering Lead","Implement tenant entity and hard data scoping"
"Story","Ship role model and permission matrix","Implement firm_admin, counselor, participant, sponsor_viewer roles with explicit permissions and audit-safe access control.","role assignment UI exists for firm admins; permission matrix enforced for key surfaces; unauthorized access attempts are blocked and logged.","White-Label Transition MVP (8-10 Weeks)","","Highest","white-label,rbac,security,wl-s1","Engineering","8","Sprint WL-1","Engineering Lead","Implement tenant entity and hard data scoping"
"Story","Add program and track configuration","Add program entity and two MVP tracks: executive_transition and professional_transition with configurable templates.","program creation flow supports selecting track; each track has separate language and milestone template; track can be changed only by firm_admin.","White-Label Transition MVP (8-10 Weeks)","","Highest","white-label,programs,tracks,wl-s2","Engineering","8","Sprint WL-2","Engineering Lead","Implement tenant entity and hard data scoping | Ship role model and permission matrix"
"Story","Create track-specific onboarding templates","Build track-aware onboarding checklists, milestone copy, and first-week goals for executive and non-executive participants.","executive and professional templates are editable at tenant level; first-week checklist completion is captured as events; onboarding starts in under 10 minutes.","White-Label Transition MVP (8-10 Weeks)","","High","white-label,onboarding,templates,wl-s2","Product","5","Sprint WL-2","Product Lead","Add program and track configuration"
"Story","Launch cohort operations dashboard","Deliver cohort view for activation, momentum, stall risk, overdue actions, and intervention queue by cohort.","firm admin and counselor can filter cohorts; at-risk participants are ranked with clear rationale; dashboard loads with agreed performance target under normal cohort size.","White-Label Transition MVP (8-10 Weeks)","","Highest","white-label,cohort,ops,dashboard,wl-s2","Engineering","8","Sprint WL-2","Engineering Lead","Add program and track configuration"
"Story","Implement counselor pre-session snapshot","Provide one-screen what-changed view before sessions: activity delta, stalled lanes, overdue actions, and next recommended move.","counselor can complete prep in under 2 minutes; snapshot includes changes since last session; snapshot usage is instrumented.","White-Label Transition MVP (8-10 Weeks)","","High","white-label,counselor,workflow,wl-s3","Engineering","5","Sprint WL-3","Engineering Lead","Launch cohort operations dashboard"
"Story","Ship action-plan and weekly loop tracking","Add structured action plan with due dates, reminders, completion tracking, and weekly loop completion status.","participants receive reminders; completion states are visible to counselor and participant; weekly loop completion metric is queryable by cohort.","White-Label Transition MVP (8-10 Weeks)","","High","white-label,engagement,weekly-loop,wl-s3","Engineering","5","Sprint WL-3","Engineering Lead","Implement counselor pre-session snapshot"
"Story","Add outcomes event schema and KPI dictionary","Implement standardized event model and metric dictionary: activation_complete, session_prep_viewed, weekly_loop_complete, interview_stage_advance, offer_recorded.","events are emitted with tenant, program, track, and cohort dimensions; metric dictionary published and linked to dashboards; data QA checks pass.","White-Label Transition MVP (8-10 Weeks)","","Highest","white-label,analytics,event-model,wl-s3","Analytics","5","Sprint WL-3","Analytics Lead","Add program and track configuration | Launch cohort operations dashboard"
"Story","Generate weekly sponsor/internal report export","Build weekly snapshot export with KPI trends, risk summary, interventions, and claims-context metadata.","export includes generated_by and generated_at fields; report has directional vs validated claims context; CSV and PDF outputs available.","White-Label Transition MVP (8-10 Weeks)","","High","white-label,reporting,sponsor,wl-s4","Engineering","5","Sprint WL-4","Engineering Lead","Add outcomes event schema and KPI dictionary"
"Story","Implement audit events and trust pack surfaces","Log access, role changes, and report exports; publish trust artifacts and data boundary statement for partner due diligence.","audit_event records created for key actions; trust page includes role boundaries and claims policy; legal/procurement review checklist is complete.","White-Label Transition MVP (8-10 Weeks)","","Highest","white-label,trust,governance,audit,wl-s4","Product","5","Sprint WL-4","Product Lead","Ship role model and permission matrix | Generate weekly sponsor/internal report export"
"Story","Package pricing and billing for three partner tiers","Implement billing configuration and sales packaging for Solo, Boutique, and Outplacement tiers with included participants and overage rules.","tier rules are configurable in admin; invoice line items reflect base fee plus overage; annual prepay discount is correctly applied in quote calculator.","White-Label Transition MVP (8-10 Weeks)","","High","white-label,pricing,billing,wl-s4","Product","5","Sprint WL-4","Product Lead","Define white-label PRD and execution guardrails"
"Story","Create pilot onboarding kit and conversion playbook","Deliver pilot start checklist, week-1 checkpoint, midpoint review, closeout template, and pilot-to-paid decision flow.","pilot checklist used by all pilot accounts; closeout template includes renewal recommendation and KPI delta; playbook is published for Partnerships.","White-Label Transition MVP (8-10 Weeks)","","High","white-label,pilot,enablement,wl-s5","Partnerships","3","Sprint WL-5","Partnerships Lead","Implement audit events and trust pack surfaces | Package pricing and billing for three partner tiers"
"Story","Run pilot validation and publish case-study package","Execute pilot validation with at least three partners and compile case-study assets with approval flags.","minimum 3 pilots launched; at least 40% pilot-to-paid conversion; 2 approved case studies captured with named or permissioned proof blocks.","White-Label Transition MVP (8-10 Weeks)","","Highest","white-label,validation,case-studies,wl-s5","Growth","5","Sprint WL-5","Growth Lead","Create pilot onboarding kit and conversion playbook | Generate weekly sponsor/internal report export"
