priority_rank,target_account,company_size_band,primary_role_lane,target_title,fit_tier,can_target_now,channel_primary,channel_secondary,trigger_hypothesis,outreach_angle,current_exec_name,status
1,Datadog,1001-10000,CFO,Chief Financial Officer,strong,yes,search-firm-referral,board-referral,AI infrastructure spend and margin pressure,Pre-search strategic clarity on mandate and company trajectory,TBD verify current holder,ready
2,Cloudflare,1001-10000,COO,Chief Operating Officer,strong,yes,search-firm-referral,investor-referral,Platform scaling and enterprise expansion,Operational health and board-aligned transition intelligence,TBD verify current holder,ready
3,Snowflake,1001-10000,CIO,Chief Information Officer,strong,yes,search-firm-referral,peer-referral,Data platform transformation mandates,Digital transformation readiness and role-risk validation,TBD verify current holder,ready
4,CrowdStrike,1001-10000,CFO,Chief Financial Officer,strong,yes,search-firm-referral,board-referral,Cyber growth versus efficiency balance,Financial and strategic signal intelligence before formal process,TBD verify current holder,ready
5,HubSpot,1001-10000,CRO,Chief Revenue Officer,strong,yes,search-firm-referral,peer-referral,GTM scaling and pipeline efficiency pressure,Revenue transition de-risking and mandate clarity,TBD verify current holder,ready
6,MongoDB,1001-10000,CFO,Chief Financial Officer,strong,yes,search-firm-referral,investor-referral,Consumption model volatility and growth planning,Company health signals and mandate validation,TBD verify current holder,ready
7,Zscaler,1001-10000,COO,Chief Operating Officer,strong,yes,search-firm-referral,board-referral,Global operating model complexity,Operational mandate intelligence pre-search,TBD verify current holder,ready
8,Okta,1001-10000,CIO,Chief Information Officer,strong,yes,search-firm-referral,peer-referral,Security and identity integration shifts,Digital org health and modernization signal tracking,TBD verify current holder,ready
9,Twilio,1001-10000,CFO,Chief Financial Officer,strong,yes,search-firm-referral,board-referral,Portfolio rationalization and margin focus,Financial mandate clarity and move-quality validation,TBD verify current holder,ready
10,DocuSign,1001-10000,CRO,Chief Revenue Officer,strong,yes,search-firm-referral,peer-referral,Enterprise GTM reset and expansion,Pre-search revenue intelligence and risk reduction,TBD verify current holder,ready
11,Zoom Video,1001-10000,COO,Chief Operating Officer,strong,yes,search-firm-referral,board-referral,Post-hypergrowth operating redesign,Operational signal intelligence before transition,TBD verify current holder,ready
12,GitLab,1001-10000,CFO,Chief Financial Officer,strong,yes,search-firm-referral,investor-referral,Public market efficiency pressure,Strategic and financial pre-search positioning,TBD verify current holder,ready
13,Elastic,1001-10000,CRO,Chief Revenue Officer,strong,yes,search-firm-referral,peer-referral,Sales productivity and enterprise expansion,Revenue role-mandate qualification before search lock-in,TBD verify current holder,ready
14,Smartsheet,1001-10000,CHRO,Chief Human Resources Officer,strong,yes,search-firm-referral,board-referral,Talent retention and org redesign,Culture and org-stability signal intelligence,TBD verify current holder,ready
15,Samsara,1001-10000,CIO,Chief Information Officer,strong,yes,search-firm-referral,peer-referral,IoT scale and platform complexity,Transformation-readiness signal validation,TBD verify current holder,ready
16,Confluent,1001-10000,CFO,Chief Financial Officer,strong,yes,search-firm-referral,board-referral,Growth investment versus profitability tradeoffs,Pre-search financial and board-context clarity,TBD verify current holder,ready
17,SentinelOne,1001-10000,CISO,Chief Information Security Officer,medium,yes,specialist-search-firm,peer-referral,Security operating maturity pressure,Compliance and security investment signal validation,TBD verify current holder,ready
18,RingCentral,1001-10000,COO,Chief Operating Officer,strong,yes,search-firm-referral,investor-referral,Enterprise execution and retention pressure,Operational health intelligence before role move,TBD verify current holder,ready
19,Five9,1001-10000,CRO,Chief Revenue Officer,strong,yes,search-firm-referral,peer-referral,Contact-center AI GTM shifts,Revenue trajectory and mandate-risk de-risking,TBD verify current holder,ready
20,Workiva,1001-10000,CFO,Chief Financial Officer,strong,yes,search-firm-referral,board-referral,Compliance-led growth and expansion choices,Financial mandate signal intelligence,TBD verify current holder,ready
21,New Relic,1001-10000,CIO,Chief Information Officer,strong,yes,search-firm-referral,peer-referral,Observability stack modernization cycles,Digital transformation and org-readiness signals,TBD verify current holder,ready
22,Rapid7,1001-10000,CISO,Chief Information Security Officer,medium,yes,specialist-search-firm,board-referral,Security platform consolidation pressure,Security posture and board support validation,TBD verify current holder,ready
23,Tenable,1001-10000,CISO,Chief Information Security Officer,medium,yes,specialist-search-firm,peer-referral,Exposure management market shifts,Security mandate and investment signal clarity,TBD verify current holder,ready
24,Dynatrace,1001-10000,CIO,Chief Information Officer,strong,yes,search-firm-referral,peer-referral,Enterprise platform transformation complexity,Transformation-readiness and move-quality validation,TBD verify current holder,ready
25,PagerDuty,1001-10000,CRO,Chief Revenue Officer,strong,yes,search-firm-referral,peer-referral,GTM efficiency and growth targets,Revenue mandate de-risking pre-search,TBD verify current holder,ready
26,Braze,1001-10000,CRO,Chief Revenue Officer,strong,yes,search-firm-referral,investor-referral,Expansion economics and vertical GTM shifts,Revenue trajectory intelligence and mandate clarity,TBD verify current holder,ready
27,Sprout Social,1001-10000,CHRO,Chief Human Resources Officer,strong,yes,search-firm-referral,peer-referral,Org scaling and talent retention needs,Culture and org-health signals for transition decisions,TBD verify current holder,ready
28,Freshworks,1001-10000,CIO,Chief Information Officer,strong,yes,search-firm-referral,peer-referral,Enterprise IT complexity and product-suite integration,Digital transformation readiness signals,TBD verify current holder,ready
29,Appian,1001-10000,COO,Chief Operating Officer,strong,yes,search-firm-referral,board-referral,Platform execution and operational leverage targets,Operational mandate and board alignment intelligence,TBD verify current holder,ready
30,UiPath,1001-10000,CFO,Chief Financial Officer,strong,yes,search-firm-referral,investor-referral,Automation market reset and margin pressure,Financial positioning and pre-search role calibration,TBD verify current holder,ready
31,Asana,1001-10000,CRO,Chief Revenue Officer,strong,yes,search-firm-referral,peer-referral,Sales efficiency and enterprise growth priorities,GTM mandate risk analysis and move validation,TBD verify current holder,ready
32,Box,1001-10000,CIO,Chief Information Officer,strong,yes,search-firm-referral,board-referral,Content platform modernization demands,Transformation-readiness and organizational stability signals,TBD verify current holder,ready
33,Dropbox,1001-10000,CFO,Chief Financial Officer,strong,yes,search-firm-referral,board-referral,Portfolio focus and capital allocation shifts,Financial and strategic signal monitoring pre-transition,TBD verify current holder,ready
34,Atlassian,1001-10000,CIO,Chief Information Officer,strong,yes,search-firm-referral,peer-referral,Cloud and AI platform operating changes,Digital transformation and role-scope validation,TBD verify current holder,ready
35,N-able,1001-10000,CRO,Chief Revenue Officer,strong,yes,search-firm-referral,peer-referral,MSP channel growth and GTM refinement,Revenue mandate quality and timing intelligence,TBD verify current holder,ready
36,Qualys,1001-10000,CISO,Chief Information Security Officer,medium,yes,specialist-search-firm,investor-referral,Security buyer behavior shifts,Security mandate clarity and board support signals,TBD verify current holder,ready
37,Nutanix,1001-10000,COO,Chief Operating Officer,strong,yes,search-firm-referral,board-referral,Hybrid cloud operating model complexity,Operational health and board-aligned role timing,TBD verify current holder,ready
38,Pure Storage,1001-10000,CFO,Chief Financial Officer,strong,yes,search-firm-referral,investor-referral,Infrastructure demand cycles and efficiency targets,Financial trajectory and role-risk validation,TBD verify current holder,ready
39,Rubrik,1001-10000,CIO,Chief Information Officer,strong,yes,search-firm-referral,peer-referral,Post-IPO operating priorities and scale demands,Transformation-readiness intelligence pre-search,TBD verify current holder,ready
40,C3.ai,1001-10000,CRO,Chief Revenue Officer,strong,yes,search-firm-referral,investor-referral,AI platform commercialization pressure,GTM mandate and trajectory signal analysis,TBD verify current holder,ready
41,Palantir,1001-10000,COO,Chief Operating Officer,strong,yes,search-firm-referral,board-referral,Large-program execution and scaling complexity,Operational stability and mandate-fit insights,TBD verify current holder,ready
42,Veeva Systems,1001-10000,CFO,Chief Financial Officer,strong,yes,search-firm-referral,board-referral,Lifecycle and vertical expansion decisions,Pre-search strategic and financial clarity,TBD verify current holder,ready
43,Procore,1001-10000,CRO,Chief Revenue Officer,strong,yes,search-firm-referral,peer-referral,Construction-tech GTM expansion pressure,Revenue transition de-risking intelligence,TBD verify current holder,ready
44,ServiceTitan,1001-10000,COO,Chief Operating Officer,strong,yes,search-firm-referral,investor-referral,Operational scale-up and process maturity,Operational mandate validation before formal search,TBD verify current holder,ready
45,Bill Holdings,1001-10000,CFO,Chief Financial Officer,strong,yes,search-firm-referral,board-referral,Fintech unit economics and growth calibration,Financial signal tracking for transition timing,TBD verify current holder,ready
46,Toast,1001-10000,CRO,Chief Revenue Officer,strong,yes,search-firm-referral,peer-referral,SMB and enterprise GTM balancing,Revenue mandate and market-position validation,TBD verify current holder,ready
